"MSA","pcgmp","pop","finance","prof.tech","ict","management"
"Buffalo-Niagara Falls, NY",32060,1132000,0.1661,0.05875,NA,0.02028
"Burlington, NC",27080,141500,0.1423,0.03054,NA,0.04385
"Burlington-South Burlington, VT",43560,206200,NA,0.07792,0.1837,0.001002
"Canton-Massillon, OH",26830,407400,0.1466,NA,0.01235,NA
"Cape Coral-Fort Myers, FL",33560,568300,0.2555,0.04572,0.01594,0.01038
"Cape Girardeau-Jackson, MO-IL",27730,92630,0.07824,0.02764,0.01129,0.007396
"Carson City, NV",45270,54980,0.1997,0.04821,0.03134,0.004018
"Casper, WY",52540,70220,0.1353,0.03334,0.007048,0.002169
"Cedar Rapids, IA",40540,249400,0.1822,0.0368,0.1479,NA
"Champaign-Urbana, IL",28830,221200,0.1627,0.05189,0.03982,0.004233
"Charleston, WV",36490,303600,NA,0.05859,0.01029,NA
"Charleston-North Charleston-Summerville, SC",33310,616600,0.1788,NA,0.02171,NA
"Charlotte-Gastonia-Concord, NC-SC",63800,1580000,0.3848,NA,0.04064,NA
"Charlottesville, VA",37820,190200,0.1816,NA,0.08746,NA
"Chattanooga, TN-GA",33970,509200,0.1834,NA,0.02428,NA
"Cheyenne, WY",36910,85900,0.1328,0.0391,0.01766,0.003784
"Chicago-Naperville-Joliet, IL-IN-WI",45460,9440000,0.2476,NA,0.04237,NA
"Chico, CA",22460,217100,0.1852,0.04861,NA,0.003486
"Cincinnati-Middletown, OH-KY-IN",38300,2120000,0.1864,NA,0.03382,NA
"Clarksville, TN-KY",28640,252400,0.07166,0.03057,0.009407,NA
"Cleveland, TN",27760,109300,0.1463,0.02834,0.00659,0.008567
"Cleveland-Elyria-Mentor, OH",41730,2104000,0.2282,0.06747,0.03486,0.02429
"Coeur d'Alene, ID",25500,130500,0.2154,0.05407,NA,0.00781
"College Station-Bryan, TX",23800,200100,0.1027,NA,0.05838,NA
"Colorado Springs, CO",32170,601400,0.1415,0.1133,0.1351,0.003308
"Columbia, MO",30630,159400,0.1563,0.03502,0.02683,0.02437
"Columbia, SC",34590,702900,0.1619,NA,0.03394,NA
"Columbus, GA-AL",29630,290000,0.1414,NA,0.08171,0.01513
"Columbus, IN",46540,73890,0.0977,0.03315,0.01192,0.01047
"Columbus, OH",43290,1732000,0.241,NA,0.05429,NA
"Corpus Christi, TX",27410,412700,0.09549,0.05897,0.01954,0.00221
"Corvallis, OR",49150,80100,0.07315,0.03937,0.586,NA
"Cumberland, MD-WV",19760,99100,0.06742,0.02298,0.01736,0.00715
"Dallas-Fort Worth-Arlington, TX",49840,5996000,0.2028,NA,0.09167,NA
"Dalton, GA",41600,131900,0.03845,NA,0.05703,NA
"Danville, IL",23090,81650,0.09019,NA,NA,NA
"Danville, VA",22870,106100,0.08611,0.02101,0.01195,0.005356
"Davenport-Moline-Rock Island, IA-IL",35520,373900,0.1366,NA,0.01709,NA
"Dayton, OH",35610,841000,0.1465,NA,0.06417,NA
"Decatur, AL",28900,147800,0.06534,0.02084,NA,0.00445
"Decatur, IL",38240,109100,0.09494,0.02637,0.01343,0.009111
"Deltona-Daytona Beach-Ormond Beach, FL",21200,495000,0.2101,0.04441,NA,0.006005
"Denver-Aurora-Broomfield, CO",50520,2403000,NA,0.09751,0.06052,NA
"Des Moines-West Des Moines, IA",51100,534700,0.3842,0.04326,0.03528,NA
"Detroit-Warren-Livonia, MI",40760,4487000,0.1875,0.1086,0.03657,0.02547
"Dothan, AL",28200,137500,0.1233,NA,0.02786,NA
"Dover, DE",32540,147500,0.241,NA,0.006874,NA
"Dubuque, IA",38820,91400,0.1251,0.02678,0.05383,0.007328
"Duluth, MN-WI",28420,273700,0.1301,0.0315,0.0207,NA
"Durham-Chapel Hill, NC",56740,467100,0.1091,0.09474,0.2683,0.008791
"Eau Claire, WI",32200,156000,0.1626,0.03523,0.1346,0.0215
"El Centro, CA",20010,157000,0.08851,0.01847,0.005412,0.004139
"Elizabethtown, KY",32980,110600,0.08882,0.02659,0.01288,0.002467
"Elkhart-Goshen, IN",48480,196300,0.06986,0.02017,0.02469,0.01072
"Elmira, NY",25520,88080,0.1005,0.02714,0.03826,0.003114
"El Paso, TX",27460,722500,0.229,0.02738,0.02133,0.003327
"Erie, PA",27280,279600,0.1324,0.03303,0.02451,0.006422
"Eugene-Springfield, OR",28450,339400,0.1709,0.04505,NA,0.01191
"Evansville, IN-KY",37610,348600,0.09641,NA,0.01228,NA
"Fairbanks, AK",39120,94820,0.09221,0.02238,0.004583,0.001348
"Fargo, ND-MN",40840,188900,0.213,0.05041,0.06972,0.0127
"Farmington, NM",33550,121600,0.05882,0.01887,NA,0.002941
"Fayetteville, NC",31280,348100,0.09259,0.02783,0.01102,NA
"Fayetteville-Springdale-Rogers, AR-MO",33380,422400,0.1415,NA,0.02432,NA
"Flagstaff, AZ",27470,126000,0.1448,0.03612,NA,0.001445
"Flint, MI",26370,437400,0.1476,0.0443,0.01821,0.002167
"Florence, SC",29530,197600,0.1121,0.03187,0.01662,0.004969
"Florence-Muscle Shoals, AL",21810,142400,0.1069,NA,0.005797,NA
"Fond du Lac, WI",31710,98650,0.11,0.0227,0.004156,0.001598
"Fort Collins-Loveland, CO",32180,280900,0.1478,0.1146,0.1391,0.003871
"Fort Smith, AR-OK",28570,285900,0.09658,NA,0.01469,NA
"Fort Walton Beach-Crestview-Destin, FL",42120,182800,0.304,0.07246,NA,0.003246
"Fort Wayne, IN",36080,405700,0.1498,NA,0.06894,NA
"Fresno, CA",26080,882200,0.1531,0.04116,0.01534,0.007476
"Gadsden, AL",20790,102800,0.1414,0.02715,0.007491,0.001873
"Gainesville, FL",29960,252900,0.1404,0.05819,0.02534,NA
"Gainesville, GA",30460,171400,0.1434,0.02566,NA,0.004596
"Glens Falls, NY",23840,128000,0.09633,NA,0.01933,NA
"Goldsboro, NC",26830,112600,0.08441,0.01523,0.00662,0.005958
"Grand Forks, ND-MN",29190,97710,0.1038,0.03261,0.01227,NA
"Grand Junction, CO",26090,133900,0.1406,0.04581,NA,0.002004
"Grand Rapids-Wyoming, MI",37960,771300,0.1908,NA,0.02931,NA
"Great Falls, MT",26540,81840,0.1363,0.05295,0.01243,0.0009208
"Greeley, CO",23130,234700,0.135,0.035,0.02947,0.01289
"Green Bay, WI",39600,298300,0.1639,0.04063,0.01134,NA
"Greensboro-High Point, NC",41290,684500,0.1824,NA,0.03485,NA
"Greenville, NC",27340,168400,0.1351,0.02736,0.007818,0.01064
"Greenville-Mauldin-Easley, SC",34090,599500,0.1271,NA,0.02784,NA
"Gulfport-Biloxi, MS",32140,227200,0.1153,0.04601,0.01999,NA
"Hagerstown-Martinsburg, MD-WV",25550,255900,0.1657,0.04635,0.03473,0.003824
"Hanford-Corcoran, CA",19950,145700,0.06846,0.01479,0.004472,0.002752
"Harrisburg-Carlisle, PA",42480,524100,0.1814,0.06503,0.03835,0.0207
"Harrisonburg, VA",38130,116100,0.1001,0.0296,0.02666,0.002485
"Hartford-West Hartford-East Hartford, CT",50540,1183000,0.2987,0.07259,0.03379,0.01824
"Hattiesburg, MS",26960,135100,0.1447,0.03296,0.00769,NA
"Hickory-Lenoir-Morganton, NC",29880,356200,0.1047,0.02067,0.0139,0.02302
"Hinesville-Fort Stewart, GA",27550,71470,0.04215,NA,0.003555,NA
"Holland-Grand Haven, MI",32610,256500,0.1389,0.02893,NA,0.00777
"Honolulu, HI",41290,904100,0.2172,0.05685,0.02226,0.01171
"Hot Springs, AR",22600,95140,0.174,0.02884,0.006977,0.007442
"Houma-Bayou Cane-Thibodaux, LA",32820,200800,0.1355,0.02716,0.00349,0.01244
"Houston-Sugar Land-Baytown, TX",48640,5486000,0.1372,NA,0.04267,NA
"Huntington-Ashland, WV-KY-OH",24620,284200,0.1077,NA,0.005859,NA
"Huntsville, AL",42300,377700,0.09243,0.1892,0.1339,NA
"Idaho Falls, ID",24870,115300,0.1284,NA,0.01849,NA
"Indianapolis-Carmel, IN",47180,1668000,0.2232,NA,0.0322,NA
"Iowa City, IA",37470,144300,0.1395,0.02645,0.05512,NA
"Ithaca, NY",29440,100100,0.1113,0.05974,NA,0.001018
"Jackson, MI",25450,162900,0.1032,0.02677,NA,0.007959
"Jackson, MS",34600,530500,0.1796,NA,0.01269,NA
"Jackson, TN",34100,112000,0.08562,0.02933,0.005761,0.00707
"Jacksonville, FL",39060,1277000,0.2436,NA,0.02822,NA
"Jacksonville, NC",26620,160900,0.07822,0.01634,0.007004,0.002802
"Janesville, WI",29120,158000,0.09648,0.01999,NA,0.01565
"Jefferson City, MO",31310,144500,0.08665,0.03492,0.02011,NA
"Johnson City, TN",26000,191200,0.1072,NA,0.0736,NA
"Johnstown, PA",21360,145900,0.1222,0.07186,0.02887,0.006737
"Jonesboro, AR",26660,114500,0.1527,0.02654,0.007864,NA
"Joplin, MO",26840,168300,0.07747,0.02058,0.01505,0.01239
"Kalamazoo-Portage, MI",30650,321400,0.1885,0.04314,NA,NA
"Kankakee-Bradley, IL",22090,109900,0.1137,NA,NA,NA
"Kansas City, MO-KS",42600,1958000,0.1907,NA,0.05941,NA
"Kennewick-Pasco-Richland, WA",29720,222900,0.09965,0.1445,NA,0.003775
"Killeen-Temple-Fort Hood, TX",26920,357900,0.0736,NA,0.01786,NA
"Kingsport-Bristol-Bristol, TN-VA",26530,301400,NA,NA,0.01413,NA
"Kingston, NY",21480,181700,0.1463,0.03459,NA,0.007686
"Knoxville, TN",36790,669500,0.1405,NA,0.06151,NA
"Kokomo, IN",41860,99920,0.04974,0.0208,0.01483,NA
"La Crosse, WI-MN",32510,129800,0.1464,0.02891,NA,NA
"Lafayette, IN",31950,188300,0.1331,0.02926,0.01762,NA
"Lafayette, LA",43470,254400,0.1445,NA,NA,NA
"Lake Charles, LA",42120,190900,0.06778,NA,NA,NA
"Lake Havasu City-Kingman, AZ",16120,192500,0.1724,0.03351,NA,0.002577
"Lakeland-Winter Haven, FL",24180,556800,0.1351,0.05632,0.01181,0.02563
"Lancaster, PA",31930,493300,0.143,0.04425,NA,0.01454
"Lansing-East Lansing, MI",34570,455500,0.2281,NA,0.02274,NA
"Laredo, TX",19220,226400,0.1381,0.03078,0.004595,NA
"Las Cruces, NM",20260,193500,0.1176,0.06556,0.0875,0.001276
"Las Vegas-Paradise, NV",43460,1771000,0.2453,0.05225,NA,0.02123
"Lawrence, KS",24630,112500,0.1447,0.06999,NA,0.004329
"Lawton, OK",27110,112300,0.08577,0.03188,NA,0.001314
"Lebanon, PA",22310,126400,0.06667,0.02589,0.009929,0.005319
"Lewiston, ID-WA",24380,59560,0.1426,0.03788,0.008264,NA
"Lewiston-Auburn, ME",27750,106900,NA,0.04719,0.01651,0.00573
"Lexington-Fayette, KY",44480,439900,0.1506,NA,0.06747,NA
"Lima, OH",35190,105200,0.08023,0.01972,0.008104,0.004862
"Lincoln, NE",38330,287800,0.1883,0.05956,0.04052,NA
"Little Rock-North Little Rock-Conway, AR",38100,656600,0.1581,NA,0.03737,NA
"Logan, UT-ID",20230,118400,0.09645,0.05678,0.03591,NA
"Longview, TX",32820,201300,0.06902,0.03421,0.02467,NA
"Longview, WA",24380,98690,0.09185,0.02037,NA,0.0004156
"Los Angeles-Long Beach-Santa Ana, CA",46940,12800000,0.256,0.08569,NA,0.01512
"Louisville-Jefferson County, KY-IN",38660,1219000,0.1726,NA,0.02273,NA
"Lubbock, TX",28550,265900,0.1242,NA,0.04426,NA
"Lynchburg, VA",29040,240100,0.1424,NA,0.02209,NA
"Macon, GA",28100,228800,NA,NA,0.0126,NA
"Madera-Chowchilla, CA",19570,143300,0.1012,NA,0.003565,NA
"Madison, WI",48990,546500,0.2517,0.06436,0.0641,NA
"Manchester-Nashua, NH",43980,4e+05,0.2479,0.08727,NA,0.006993
"Manhattan, KS",28460,116900,0.09525,NA,0.01713,NA
"Mankato-North Mankato, MN",35970,90770,0.1075,NA,0.03492,NA
"Mansfield, OH",28960,126300,0.07408,0.01804,0.04511,0.001367
"McAllen-Edinburg-Mission, TX",14920,686000,0.1056,0.03264,NA,0.001173
"Medford, OR",26820,196500,0.1767,0.03833,NA,0.01727
"Memphis, TN-MS-AR",41700,1270000,0.1941,0.03986,0.01584,NA
"Merced, CA",19710,241300,0.1184,0.01851,0.003996,0.01115
"Miami-Fort Lauderdale-Pompano Beach, FL",40910,5402000,0.2707,0.06819,NA,0.01256
"Michigan City-La Porte, IN",24980,109200,0.09901,0.022,NA,0.001834
"Midland, TX",42260,123400,0.08971,0.05674,NA,0.02607
"Milwaukee-Waukesha-West Allis, WI",45210,1539000,0.2228,0.05944,0.07219,0.02839
"Minneapolis-St. Paul-Bloomington, MN-WI",50050,3164000,0.2426,NA,0.07522,NA
"Missoula, MT",34680,104000,0.2197,0.05603,0.0208,0.003883
"Mobile, AL",29600,401600,0.1778,0.05695,0.02944,0.001935
"Modesto, CA",25070,505200,0.1606,0.03473,NA,0.008999
"Monroe, LA",31180,172400,0.1077,0.04166,0.008927,0.02734
"Monroe, MI",22890,153200,0.111,NA,0.005706,NA
"Montgomery, AL",32800,362500,0.1537,NA,0.02599,NA
"Morgantown, WV",32910,116800,0.166,0.03539,0.01275,NA
"Morristown, TN",23950,131900,0.07281,NA,0.007597,NA
"Mount Vernon-Anacortes, WA",29850,114100,0.1418,0.03287,0.01145,0.002348
"Muncie, IN",24500,115500,0.123,0.0523,0.02332,0.00742
"Muskegon-Norton Shores, MI",23400,174000,0.1466,0.02308,NA,0.001719
"Myrtle Beach-North Myrtle Beach-Conway, SC",33090,239500,0.3198,0.03281,0.0241,0.004417
"Napa, CA",44880,130900,0.1807,0.04853,NA,0.002554
"Naples-Marco Island, FL",40390,311600,0.3367,0.04513,0.01549,0.01001
"Nashville-Davidson-Murfreesboro-Franklin, TN",44100,1486000,0.1568,NA,0.05446,NA
"New Haven-Milford, CT",37330,841900,0.1768,0.07798,NA,0.01155
"New Orleans-Metairie-Kenner, LA",48180,991900,0.1462,NA,0.01337,NA
"New York-Northern New Jersey-Long Island, NY-NJ-PA",54050,18850000,0.3314,0.09471,0.04795,NA
"Niles-Benton Harbor, MI",28950,159300,0.1398,0.03078,0.02146,0.0008671
"Norwich-New London, CT",40290,267900,0.09933,0.07181,0.02882,0.002224
"Ocala, FL",20980,313800,0.1855,0.03556,NA,0.002583
"Ocean City, NJ",33840,97540,0.3423,0.03453,0.007573,0.003635
"Odessa, TX",29360,126500,0.09103,0.03367,0.01589,NA
"Ogden-Clearfield, UT",25710,503200,0.1733,NA,0.02118,NA
"Oklahoma City, OK",34780,1173000,0.1575,NA,0.0275,NA
"Olympia, WA",28570,232900,0.1542,0.03998,0.01984,0.00481
"Omaha-Council Bluffs, NE-IA",43700,819100,0.2066,NA,0.05953,NA
"Orlando-Kissimmee, FL",42990,1994000,0.2789,0.07225,0.03591,0.01322
"Oshkosh-Neenah, WI",40490,160200,0.09741,0.04331,0.06859,0.05148
"Owensboro, KY",31140,111300,0.1022,NA,0.01068,0.002597
"Oxnard-Thousand Oaks-Ventura, CA",38240,791200,0.206,0.06101,NA,0.01028
"Palm Bay-Melbourne-Titusville, FL",29230,531000,0.1249,0.07525,NA,0.005412
"Palm Coast, FL",15040,82290,0.2989,0.03554,0.06058,0.0008078
"Panama City-Lynn Haven-Panama City Beach, FL",31520,163900,0.2075,0.06038,0.008516,0.002903
"Parkersburg-Marietta-Vienna, WV-OH",27950,160900,0.1109,0.02756,0.007113,0.008224
"Pascagoula, MS",23620,149500,0.07901,0.04645,0.02549,0.001416
"Pensacola-Ferry Pass-Brent, FL",24260,450700,0.1507,0.05442,0.01409,0.00933
"Peoria, IL",37490,368600,0.1051,NA,0.01028,NA
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",46660,5805000,0.2828,NA,0.04619,NA
"Phoenix-Mesa-Scottsdale, AZ",40250,4035000,0.2559,NA,NA,NA
"Pine Bluff, AR",24080,102700,0.06952,0.02668,0.004446,0.001213
"Pittsburgh, PA",38350,2361000,0.2018,0.0777,0.03434,0.02946
"Pittsfield, MA",34920,130400,0.2575,0.06503,0.01933,0.009227
"Pocatello, ID",24640,87050,0.1072,0.04289,0.1026,0.006993
"Portland-South Portland-Biddeford, ME",39070,511200,0.2459,0.06013,0.03925,NA
"Portland-Vancouver-Beaverton, OR-WA",46300,2126000,NA,NA,0.2908,NA
"Port St. Lucie, FL",25000,387600,0.2114,0.05036,0.01445,0.003715
"Poughkeepsie-Newburgh-Middletown, NY",26620,665600,0.1451,0.0468,0.1143,0.008919
"Prescott, AZ",17870,206300,0.1673,0.03824,0.01817,0.001085
"Providence-New Bedford-Fall River, RI-MA",34020,1604000,0.2255,0.05435,0.04354,0.01762
"Provo-Orem, UT",21680,491200,0.1396,NA,0.1379,0.008639
"Pueblo, CO",19260,151700,0.1068,0.03183,0.01164,0.002738
"Punta Gorda, FL",20220,152800,0.2557,0.05374,0.01424,0.002914
"Racine, WI",29660,198100,0.1025,0.04425,0.01957,0.003574
"Raleigh-Cary, NC",42750,997100,0.215,0.09674,0.09508,0.01684
"Rapid City, SD",32020,118900,0.1917,0.03545,0.03072,0.004464
"Reading, PA",30480,398300,0.1363,0.05461,0.01927,0.01993
"Redding, CA",25530,178300,0.1683,0.0523,NA,0.007031
"Reno-Sparks, NV",42540,401100,0.1717,0.06617,0.01518,0.01952
"Richmond, VA",41730,1194000,0.2263,NA,0.03294,NA
"Riverside-San Bernardino-Ontario, CA",23680,3982000,0.2004,0.03945,NA,0.006553
"Roanoke, VA",35780,294200,0.1425,NA,0.03363,NA
"Rochester, MN",42520,178400,0.1015,0.02387,0.1255,NA
"Rochester, NY",37350,1033000,NA,0.0589,0.04946,NA
"Rockford, IL",30440,344600,0.1214,0.03317,NA,0.001716
"Rocky Mount, NC",32610,144400,0.13,0.02039,0.04163,0.01274
"Rome, GA",27100,95020,0.08233,0.02835,0.02447,0.004272
"Sacramento-Arden-Arcade-Roseville, CA",38280,2056000,0.2515,0.06772,0.06014,0.007712
"Saginaw-Saginaw Township North, MI",30220,204900,0.1328,0.03069,NA,0.004523
"St. Cloud, MN",33140,183300,0.1508,0.027,0.01087,0.005928
"St. George, UT",22510,127100,0.2097,0.04614,NA,0.001049
"St. Joseph, MO-KS",26620,124300,0.0961,NA,0.008462,NA
"St. Louis, MO-IL",36880,2791000,0.1609,NA,0.04153,NA
"Salem, OR",25780,378600,0.1636,0.03586,0.04785,NA
"Salinas, CA",37440,403900,0.1581,0.04259,0.02711,0.009324
"Salisbury, MD",27670,117900,0.1202,NA,0.02514,NA
"Salt Lake City, UT",45660,1074000,0.25,0.07963,0.05052,0.01969
"San Angelo, TX",25220,107500,NA,NA,0.01622,NA
"San Antonio, TX",31750,1932000,0.168,NA,0.03042,NA
"San Diego-Carlsbad-San Marcos, CA",46710,2937000,0.2532,0.09811,NA,0.009462
"Sandusky, OH",34470,77410,0.09783,0.01912,0.006747,0.001124
"San Francisco-Oakland-Fremont, CA",60780,4178000,0.2666,0.132,NA,0.02146
"San Jose-Sunnyvale-Santa Clara, CA",77260,1762000,0.1442,0.1328,0.4115,0.006324
"San Luis Obispo-Paso Robles, CA",32740,259700,0.225,0.05446,0.01717,0.004705
"Santa Barbara-Santa Maria-Goleta, CA",39840,400400,0.2112,0.08287,0.06933,0.01072
"Santa Cruz-Watsonville, CA",33670,249600,0.1907,0.06614,0.05829,0.03105
"Santa Fe, NM",37510,140600,0.2477,0.08908,0.03146,0.002274
"Santa Rosa-Petaluma, CA",37380,461000,0.2277,0.07829,0.06024,0.005572
"Savannah, GA",32540,321200,0.1181,NA,0.01043,NA
"Scranton-Wilkes-Barre, PA",28680,548000,0.122,NA,0.03322,NA
"Seattle-Tacoma-Bellevue, WA",53520,3254000,0.2232,0.07246,0.112,0.01415
"Sebastian-Vero Beach, FL",28450,129300,0.2599,0.05791,NA,0.004078
"Sheboygan, WI",38410,113900,0.1276,0.02583,0.004801,0.009374
"Sherman-Denison, TX",23700,116800,0.08992,0.02672,NA,0.0007223
"Shreveport-Bossier City, LA",38930,386900,0.08778,NA,0.00976,NA
"Sioux City, IA-NE-SD",34170,141700,0.1475,NA,0.01116,NA
"Sioux Falls, SD",50770,221500,NA,NA,0.03006,NA
"South Bend-Mishawaka, IN-MI",33030,315800,0.1406,NA,0.01591,NA
"Spartanburg, SC",32350,269600,0.08245,0.03612,NA,0.02236
"Spokane, WA",31450,446900,0.1896,0.04731,NA,0.01259
"Springfield, IL",32850,205700,0.147,0.05802,NA,0.007845
"Springfield, MA",26040,686700,0.1524,0.04682,0.0297,NA
"Springfield, MO",28620,410100,0.1568,0.0472,0.02326,0.01363
"Springfield, OH",22040,141000,0.1378,NA,0.008046,0.01738
"State College, PA",30390,143800,0.1346,0.07071,0.07597,0.00984
"Stockton, CA",23790,662400,0.1764,0.02849,NA,0.006472
"Sumter, SC",23810,104100,0.07385,0.02139,0.01211,0.005246
"Syracuse, NY",33800,644900,0.1426,0.06231,0.03969,0.01551
"Tallahassee, FL",29920,347300,0.1346,NA,0.04302,NA
"Tampa-St. Petersburg-Clearwater, FL",35410,2687000,0.2213,0.07382,0.0516,0.01275
"Terre Haute, IN",25560,170000,0.08955,0.02486,0.04075,0.003453
"Texarkana, TX-Texarkana, AR",25030,133800,0.1066,NA,0.00597,NA
"Toledo, OH",34860,651800,0.1341,0.04344,0.01487,NA
"Topeka, KS",29830,227300,0.1639,0.04086,0.02257,NA
"Trenton-Ewing, NJ",54460,363300,0.2157,0.1546,NA,0.02396
"Tucson, AZ",26790,974100,0.1615,0.07338,NA,0.005211
"Tulsa, OK",37760,891200,0.1588,NA,0.01991,NA
"Tuscaloosa, AL",31860,202400,0.123,0.02932,0.01768,NA
"Tyler, TX",32910,194300,0.1082,0.05176,NA,0.001876
"Utica-Rome, NY",24080,294000,0.1401,NA,0.04603,NA
"Valdosta, GA",24070,128300,0.1166,NA,0.004534,0.00421
"Vallejo-Fairfield, CA",25040,407100,0.1611,0.02962,0.009711,0.009514
"Victoria, TX",33960,112500,0.06464,NA,0.005496,NA
"Vineland-Millville-Bridgeton, NJ",26240,153900,0.106,0.026,0.009903,0.01213
"Virginia Beach-Norfolk-Newport News, VA-NC",36120,1662000,0.1849,NA,0.03531,NA
"Visalia-Porterville, CA",21640,412100,0.1025,NA,0.008748,NA
"Waco, TX",27790,225700,0.1237,0.02902,0.07701,0.005102
"Warner Robins, GA",29930,128000,0.07415,0.08303,NA,0.002089
"Washington-Arlington-Alexandria, DC-VA-MD-WV",60240,5260000,NA,NA,0.1042,NA
"Waterloo-Cedar Falls, IA",37260,162800,0.1325,NA,0.01072,NA
"Wausau, WI",36650,128800,0.161,0.03665,NA,0.007627
"Weirton-Steubenville, WV-OH",21520,123800,0.08705,NA,0.01689,NA
"Wenatchee-East Wenatchee, WA",28520,105000,0.1536,0.02639,0.01269,NA
"Wheeling, WV-OH",25830,146700,0.1227,NA,0.01689,NA
"Wichita, KS",37420,588000,0.1077,NA,0.02364,NA
"Wichita Falls, TX",27040,149300,0.07357,NA,0.01164,NA
"Williamsport, PA",26210,117200,0.08493,0.03287,0.02278,0.002929
"Wilmington, NC",32690,328600,0.2535,NA,0.009869,NA
"Winchester, VA-WV",35030,118700,0.1429,0.03224,0.01299,NA
"Winston-Salem, NC",43060,453700,0.2047,NA,0.02252,NA
"Worcester, MA",30290,780600,0.1457,0.07473,NA,0.01857
"Yakima, WA",25220,230100,0.09545,0.02223,0.004307,0.004824
"York-Hanover, PA",29480,414000,0.1222,0.03622,NA,0.015
"Youngstown-Warren-Boardman, OH-PA",26000,576200,0.1297,0.0267,0.01321,0.007208
"Yuba City, CA",21320,159800,0.15,0.03229,0.008218,NA
"Yuma, AZ",20320,185100,0.1016,0.02287,0.03058,0.002127
